Korean,English
"네, 시험으로 따로 만회할 기회가 있는게 아니라 오로지 3가지의 과제로만 평가된다니 조금 부담이네요.",Yes. It's a bit of a pressure since we don't have an option to boost up our grade but will only have to be graded based on the 3 proejcts.
그래도 한가지 과제는 그룹 과제니까 우리 노력해 봅시다.,"However, let's give in some effort since one of the projects is a group project."
이번 시험 준비를 하느라 3일 정도 밤을 샜습니다. ,I pulled off an all nighter for 3 days for this exam.
"오, 정말요? 너무 피곤하실것같아요. 저는 절대 밤은 못새요.","Oh, really? You must be exhausted then. I can never pull off an all nighter."
"저는 벼락치기를 해야 공부가 잘되는 스타일이라, 매번 시험마다 몸이 너무 힘듭니다.",I can only study when I cram. That's why my body is so tired every exam.
그렇군요. 저랑 정반대세요. 저는 벼락치기는 절대 못합니다. ,I see. That's totally opposite from me. I can never cram.
시험이 3일 앞으로 다가 왔네요. 너무 떨려요. 이번에도 합격 못하면 어떻하죠?,We will have our exam in 3 days. I'm so nervous. What if I can't pass this time?
저도 많이 떨려요. 이번에는 꼭 합격하실 수 있으실거에요. 노력 많이 하셨잖아요.,I'm also super nervous. You can pass this time for sure. You've studied so much.
네. 이번에는 진짜 꼭 합격해야하는 마음으로 공부했어요. 그래서 떨리지만 자신있어요.,Yes. I studied so I can really pass this time. I am nervous but I am also kind of confident.
전 이번에 아르바이트랑 병행하느라 공부를 많이 못했어요. 다음번은 기약해봅니다.,I couldn't study very much because I had to do part time jobs at the same time. Maybe next time.
혹시 이번 시험을 위해서 얼마나 준비했는지 물어봐도 될까요?,May I ask how much you've prepared for this exam?
저는 한 2년정도 준비했어요. 아시다시피 워낙 어려운 시험이잖아요. 변호사 시험이란게.,I've prepared for about 2 years. You know the bar exams are very difficult.
그렇죠. 저도 한 2년? 2년반 정도 준비해서 합격 했어요.,I know. I also prepared for about 2 to 2.5 years and I passed.
너무 부러워요. 저도 꼭 이번에는 합격했으면 좋겠어요.,I'm so jealous. I sincerely hope I can pass this time.
미국 대학 입학 시험인 SAT와 한국의 수능시험은 어떻게 다른지 궁금해요.,I want to the know the difference between the SATs of the United States and the college entrance exam of Korea.
미국 대학 입학 시험은 한국 수능과 다르게 1년에 1번이상 치를수 있어요.,"Unlike the Korean college entrance exam, you can take the SATs more than 1 time in a year."
정말요? 그건 좀 좋은 제도 인것같아요. 왜냐면 저는 수능 당일날 급성 장염이 걸려서 재수를 해야했거든요.,Really? That seems like a good system. It's because I had to wait for another year because I got an acute pancreatitis on the day of the exam.
"오, 그렇군요. 그건 좀 안타깝네요. 한국 수능시험도 그런 상황에 대비해 몇 번 더 치를 수 있는 기회를 줬으면 좋겠네요.","Oh, I see. That's a bummer. I wish Korean college entrance exams also give the students more chances to take the test for a situation like that."
이번 시험 잘 본것 같아? 어떤것 같아?,How do you think you did on this test?
"아, 난 이번 시험은 완전 망한 것 같아. 지금 채점해보니까 최소 5개 이상은 틀렸어.",I think I totally failed. I just graded and I got at least 5 questions wrong.
너도 그렇구나. 나도 이번 시험은 완전 망했어. 우리 어떻하지.,You too? I totally messed up this test too. What should we do.
어떻하긴 뭘 어떻해. 다음 시험을 잘 보도록 해보자.,You can't say that. We should try harder next time.
우리 이번 시험 또 전교 1등 김해리라면서?,Is Hye-ri Kim 1st in our school for this exam again?
"응, 그래. 김해리는 전교 1등을 진짜 한번도 안놓친다니까.",Yes. She never misses being the 1st in our school.
도대체 비결이 뭘까. 너무 궁금하다. 따로 학원 다니나보지?,I wonder how she does it. I'm so curious. Maybe she gets tutored?
들어보니까 김해리는 학원도 따로 안다닌다고 하더라고. 그런거 보면 참 심기해.,I heard she never even gets tutored. That's amazing.
이번에 시험 범위 혹시 어디서 부터 어디까지인지 기억나?,Do you know where our test will cover?
"아니, 나도 적으려고 했는데 어느새보니 칠판에서 지워져있더라. 아 그럼 누구한테 물어보지.",No. I tried to write it down too but it was erased from the white board already. Who should we ask.
기다려봐. 내가 뒷사람한테 물어보고 알려줄께. 잠깐만.,Wait a second. I'll ask the guy in the back. Hold on.
"아, 고마워. 난 쑥스러워서 그런거 잘 못물어봐.","Ah, thank you. I'm always to shy to ask."
이 세상엔 참 너무 시험이 많은 것같아. 우린 대학 들어가려고 수능을 보고 또 회사 입사하려고 입사시험도 보잖아.,I feel like we have too many tests in our world. We'll take an exam to go to college then we'll be taking another exam to find a job.
그 뿐인줄알아? 회사에 입사하고나서도 승진하려면 계속 시험을 봐야한다고.,"You think that's it? After you start working, you need to take tests in order to get promoted."
도대체 시험을 언제까지 봐야하는 걸까. 시험 없는 세상에 살고 싶다.,When can we finish taking tests. I want to live in a world with no tests.
"나도 그래. 근데, 먼 미래를 걱정하기 보다 우리 당장 내일 시험을 걱정해야 할것같다.",Me too. But we need to focus on tomorrow's test rather than worrying about the far away future.
어떻하지. 이번 시험에서 B 이상 안맞으면 엄마가 내 용돈 5개월동안 끊는다고 했는데.,What do I do. My mom said she'll be cutting off my allowance for 5 months if I don't get above B on this test.
이번에 시험 성적 나왔어? 난 나온지도 몰랐다. 너 뭐 받았는데?,The test results are out? I don't even know what I got. What did you get?
나 B- 받았어. 나 이번달부터 용돈 못받으면 아무것도 못하는데 어떻하지.,I got a B-. I can't do anything if I don't get allowance this month.
어떻하긴 뭘 어떻게. 아르바이트 빨리 구해보자.,What are you talking about. Let's start looking for part time jobs for you.
이제 대한민국에서 사법고시가 사라진다고 합니다. 사법고시는 우리나라에서 가장 어려운 시험으로 통하는 시험이었죠.,"In Korea, the bar exams will be gone soon. The bar exams were considered to be one of the most difficult exams in Korea."
"아, 그러면 이제 변호사가 되려면 어떠한 시험을 치뤄야하는 것인가요?","Then, what kind of exam do we have to take in order to become a lawyer?"
일단 먼저 로스쿨을 진학을 해야만 변호사가 될수 있다고 하네요.,You first have to go to a law school in order to become a lawyer.
그렇군요. 사법고시가 사라진게 뭔가 추억이 사라진 것같아서 아쉬운 기분이 드는 건 왜 일까요?,I see. Why do I feel a little sad to see the bar exams being gone? It was a good memory. 
"우리 선생님은 항상 교과서에서 시험 문제를 출제한다고 했는데, 왜 막상 시험문제들은 다 처음 보는 문제들일까?",Our teacher always says that she gets the test questions from our text books. But why do I always feel like I've never seen the questions before?
그것은 아마 교과서에서 나온 것들을 응용한 문제들을 출제하셔서 그런게 아닐까?,Maybe it's because he only got the concept from the textbook but not actual questions.
맞아. 나는 암기는 잘하는데 응용이 문제야. 응용문제들이 나오면 갑자기 식겁을 하게되.,Right. I'm good with memorizing but the problem for me is understanding a concept. I freak out when I see those questions.
그건 나랑 정반대구나. 나는 암기 과목은 진짜 점수가 안나오거든. 정말 잘 안외워져.,That's very different from me. I suck at subjects that require memorizing. I can never memorize anything.
졸업 하려면 우리 이번 시험에서 못해도 B+을 맞아야하는 거아니야?,Don't we need at least a B+ on this test in order to graduate?
그렇지. 그런데 졸업을 해도 취업 준비 때문에 사실 졸업을 별로 하고싶진 않아.,"That's right. However, a part of doesn't want to graduate because I don't want to start looking for jobs after graduation."
그래서 내 친구들 중에서도 이번에 졸업 유예 하는 사람들이 좀 많아.,That's why some of my friends are postponing graduation this year.
나도 그러고는 싶은데 학비 때문에 졸업 유예가 조금 힘들것같아.,I want to do that too but I can't because of tuition.
나는 이상하게 남들이 다 어려워하는 읽기 부분이 더 쉽게 느껴져.,It's so strange. Most people have hard time on the Reading Comprehension part of TOEIC but it's actually easier for me.
그건 나도 그래. 가끔씩 듣기 부분에서 처음 들어보는 영국식 영어를 쓰시는 분이 계시면 당황한다니까.,"Me too. When the speaker talks in British English for Listening Comprehension, I start to get very confused."
오 나도 마찬가지야. 아마 우리나라 영어 교육이 주로 미국식 발음에 더 치우쳐져 있어서 그런건것같아.,Same here. Maybe it's because the Korean education is more focused on teaching American English.
그래. 그래서 나는 영국식 발음을 구사하는 프로그램을 좀 더 많이 보려고 해.,Yes. That's why I try to watch TV channels using British Englishto get exposed to British accent more.
이번 시험 좀 그래도 쉽지 않았어? 나만 그랬나?,Wasn't this exam relatively easier? or is it just me?
아니야. 나도 지난번보다는 이번 시험이 훨씬 쉬웠던 것 같아.,No. I also think this exam was easier than the last one.
"그럼 다들 좀 잘 봤다는 소리인데, 이게 좋은 건지 나쁜 건지 모르겠다.",That means many people did well and I'm not sure if this is good or bad.
맞아. 이번 학기부터 상대평가로 점수가 매겨진다고 했는데.,Right. I heard it will be relative evalution starting this semester.
이거 내 제일 친한 친구이자 이번에 의대에 합격한 내 제일 똑똑한 친구가 쓰던 펜이야.,This pen was used by one of my best and the smartest friend who recently got accepted to medical school.
오. 근데 이걸 왜 가져왔어? 혹시 오늘 시험용 부적이야?,"Oh, why did you bring it? Is this going to be a good luck for today's test?"
응. 내 친구 진짜 공부 잘하거든. 혹시 몰라서 어제 가서 빌려왔지.,Yes. My friend is really smart. I borrowed from her just in case.
설마 이 펜을 쓴다고 시험을 잘 보겠어. 평소 실력이 중요하지.,You think you'll do well just because of this pen? It's about how much you've prepared.
"하나 창피한 이야기해도 되? 진짜 창피하긴 한데, 좀 웃기기도 해서.",Can I tell you an embarrasing story? It's embarrasing but funny. 
뭔데? 괜찮아. 말해봐. 너가 말하면 나도 하나 말해줄께.,What is it? You can tell me. I'll tell you one if you tell me.
사실 나 운전면허 시험 3번 떨어졌다. 진짜 4번째에서는 겨우 붙었어.,I actually failed my driving test 3 times. I almost failed my 4th one but I got it.
어머 진짜? 사실 나도 3번 떨어졌어. 우린 진짜 운명인듯.,Oh really? I actually failed 3 times as well. I think this is destiny.
내가 운전면허 시험을 보던날이 또 할로윈이었어. 너 내가 얼마나 할로윈 중요하게 생각하는지 알지?,It was Halloween when I was taking my driving test. You know how much I care about Halloween?
응. 당연하지. 넌 매년 까먹지 않고 꼭 코스튬을 입고 학교 오잖아.,"Yes, of couse. You never forget to wear your costume every year to school."
응. 잘 아는 구나. 그래서 운전면허 시험을 보는 당일에도 할로윈 코스튬을 입고 갔어.,"Yes, you know. So I wore my Halloween costume on the day of my driving test as well."
헉. 진짜? 어떻게 됬어? 흥미진진한데. 코스튬을 입고 시험 응시가 가능한가 궁금하다.,What? Really? What happened? I'm curious if you can still take the test with your costume on.
나는 시험에 대한 징크스가 있어. 그래서 진짜 시험 당일날에는 꼭 흰색 바지를 입고가.,I believe in a jinx for testing. That's why I always wear white pants on the test day.
"에이, 설마 고사장에 흰색 바지를 안입는다고 무슨일이야 일어나겠어.",What can possibly happen if you don't wear white pants to your testing?
실제로 일어났어. 흰색 바지를 안입은적이 딱 1번 있었는데 그날 고사장에 갑자기 지진이 나더라고.,Something really happened. I forgot to wear white pants 1 time and there was an earthquake at the test site.
어머. 진짜? 그럼 진짜 징크스 맞네. 그럼 내일도 꼭 잊지 않고 흰색 바지 입고 와.,"Wow, really? Then that's really a jinx. Don't forget to wear white pants tomorrow then."
내일이 시험이라니 정말 미친듯이 떨린다. 어떻하지.,I can't believe tomorrow is the test day. I'm so nervous. What do I do.
지금까지 지켜봤는데 넌 정말 열심히 준비했으니까 진짜 잘해낼수 있을꺼야.,I've known you for a long time. You'll do well because you've prepared it so hard.
고마워 친구야. 정말 내 떨어졌던 자존심을 붇돋아 주는 말이구나. ,"Thanks, my friend. You really are boosting up my confidence."
당연하지. 내일 시험 잘 치고 와서 우리 맛있는 거 먹으러 가자.,Of course. Let's go get something delicious tomorrow after your test.
우리 딸 시험 잘 본 기념으로 아빠가 맛있는 거 쏜다!,Dad is treating you to a nice restaurant because you need so well on your test!
"진짜요, 아빠? 감사합니다! 저 사실 파스타가 너무 먹고 싶었어요.","Really, dad? Thank you so much. I actually have been craving for pasta."
"그래. 파스타 먹으러 가자. 우리 딸이 전교 1등을 했는데, 무엇인들 못 사주겠어.",Okay. Let's go get past then. I can get you everything since you got 1st in your school.
다음번에도 공부 열심히 해서 전교 1등 해볼께요. 감사합니다.,I'll try hard next time to maintain it. Thank you.
우리 사랑하는 딸의 중학교 입학을 축하합니다.,"Congratulations, my beloved daughter on your first day of middle school."
감사합니다. 이제 중학생이 되었으니 더 열심히 공부하도록 하겠습니다.,Thank you. I'll study harder now that I'm in middle school.
여기 할머니께서 전해달라고 하신 입학 축하 용돈.,Here's some money from your grandmother congratulating you on your first day.
보니까 교복이 많이 비싸던데 교복 사는데 보태서 감사하게 잘 쓸께요. ,I will use this money to buy my uniform. The uniforms are a bit pricy.
이제 드디어 중학교에 입학하니까 기분이 어때? 초등학교랑 많이 달라?,How do you feel to be in middle school? Is it very different from elementary school?
"음, 교복이란 걸 입으니까 조금 기분이 색다르긴 한 것 같아.",I feel a little different because we start to wear uniforms.
맞아. 고등학교 졸업 때 6년 동안 입은 교복 벗으면 또 느낌이 다르다.,I see. You will also feel very strange to stop wearing uniforms after 6 years on your high school graduation.
그렇겠다. 진짜 계속 교복 입다가 안입는 것도 되게 이상할 것 같아.,I know right? It will be pretty weird to not wear uniforms anymore after wearing it for so long.
미국 대학교에 합격해서 입학하는 건 너무 좋은데 걱정되는 부분이 있긴 해.,I'm excited to go to college in the United States but I'm also worried a little.
무엇인데? 넌 어렸을 때부터 공부를 잘해서 미국으로 대학 간다고 하니까 난 너무 뿌듯하던데.,Why? I was so proud of you when I heard the news that you are going away because you were an excellent student since you were a kid.
미국 대학은 오히려 입학보다 졸업이 더 힘들다고 하더라. 이제부터 고생길 시작인것 같아 걱정이야.,I heard that American colleges are more difficult to graduate than getting accepted. I'm worried that it will be tough 4 years.
그래도 넌 잘해낼거라 믿어. 넌 내가 아는 사람들중에 가장 똑똑하고 책임감 있는 친구니까.,But I believe you will do well because you are the smartest and most responsible friend I have.
나 초등학교 입학식때 우리 엄마가 갑자기 교통사고가 나셔서 못오셨었어.,My mom got into a car accident on my elementary school graduation day. So she couldn't make it.
그랬구나. 어떻게. 엄마는 괜찮으셨어? 참 큰일 났었네.,Oh my god. Is she alright? That's so serious.
응. 그냥 되게 작은 사고였어서 괜찮았는데 엄마가 입학식에 못 오신걸 항상 미안해하셨어.,Yes. She was okay because it was just a small accident but she was felt sorry for not making it to my graduation.
그래도 오늘 중학교 입학식에는 오셔서 다행이지 뭐.,But she at least came to your middle school graduation today.
입학식인데 비가 너무 많이 와서 운동장에서 하지 않고 교내 강당에서 하게 되었나봐.,"Our entrance cermony will be held in school auditorium, but not in the playground due to the rain."
어제부터 비가 엄청 많이 와서 운동장이 다 젖었다.,The playground is very wet because it started raining a lot since yesterday.
난 강당이 더 습할 것 같아서 조금 별로이긴한데 어쩔수 없지.,I feel like the auditorium might be too humid but we don't have a choice.
응. 지금 방송 나온다. 빨리 강당으로 가자.,Yes. They are announcing it right now. Let's head over to the auditorium now.
내일이 드디어 고등학교 졸업식이라니 믿어지지가 않아.,I can't believe tomororw is our high school graduation.
맞아. 나도 그래. 우린 이제 더 이상 미성년자가 아니라는게 신기해.,I know. Me too. I am shocked that we are not minors anymore.
응. 내일 이후로는 우리 모두 다 대학생이겠네?,"Yes, after tomorrow we all are college students."
그래도 같은 대학교가서 다행이다. 대학교 가서도 친하게 지내자.,I am glad that we are going to the same college. Let's stay close in college as well.
내일이 소미 졸업식인데 도대체 어떤 선물을 줘야할지 모르겠어.,Tomorrow is Somi's graduation and I don't know what kind of gift I should get her.
소미가 꽃을 좋아하니까 꽃다발은 어때? 너무 식상한가?,What about flower bouquet since she likes flowers? Is it too boring?
꽃다발이랑 함께 뭔가 더 추억이 될 만한걸 준비해주고 싶은데...,I want to give something memorable with the flower bouquet...
좀 더 고민해보자. 소미가 어떤 선물을 받으면 좋아할지.,Let's think about it more. What kind of present will Somi really like.
나는 미국에서 고등학교를 졸업했는데 참 특이한 일이 있었어.,I graduated high school in the United States and some strange things happened.
뭔데? 미국에서 고등학교 졸업하는 이야기는 처음 들어봐.,What is it? I've never heard about American graduation before.
"내가 고등학교 내내 마칭밴드 부였는데, 내 졸업식때에도 글쎄 연주를 해야했었어.",I was in marching band for all 4 years of high school and I still had to play on my graduation day as well.
진짜? 마칭밴드 한지는 몰랐어. 근데 되게 신기하다. 학생들이 졸업연주도 함께 하고.,Really? I didn't know you were in marching band. That's funny though. The students play at their own graduation ceremony.
이번 졸업식 연사는 누구하는지 혹시 이야기 들었어.,Do you know who will be our graduation speaker this year?
응. 지난주에 이메일로 공지가 왔더라. 되게 유명하신 분이야.,Yes. We got an e-mail last week about it. He's very famous.
헉. 누구신데? 우리 부모님께서 너무 궁금해하신다.,"Wow, who is it? My parents are super curious. "
우리 졸업식 연사는 빌 클린턴 전 미국 대통령께서 해주실거래.,"Bill Clinton, the former president of the United States, will be our graduation speaker this year."
오늘따라 길가에 왜 이렇게 꽃을 파는 분들이 많으셔?,Why are so many people selling flowers today on the street?
몰랐어? 오늘 여기 이 대학교 졸업식이잖아.,You didn't know? This school is having their graduation ceremony today.
아 맞다. 우리 동생도 이 학교 다니는데. 나도 그럼 내일 이 학교 졸업식에 오겠네.,Oh right. My brother goes to this school too. Maybe I'll go to his graduation next year.
이 학교 졸업식이 진짜 멋있대. 나도 내년 너희 동생 졸업식때 같이 가면 안될까?,I heard their graduation ceremony is amazing. Can I join your family to your brother's graduation ceremony next year?
오늘 졸업하는 모든 학생분들과 학부모분들 및 가족 여러분들께 축하의 말씀 드립니다.,I want to say congratulations to all students graduating today and to their parents and family.
"선생님, 그동안 저희도 너무 감사했습니다. ",Thanks so much for everything too.
별말씀을요. 저도 그동안 이렇게 똑똑하고 재미있는 학생들을 가르칠수 있어서 영광이었습니다.,You are welcome. I was so honored to teach such amazing and smart group of students.
저희 졸업 후에도 연락하고 꾸준히 찾아오도록 하겠습니다. ,We'll keep in touch and visit you even after we graduate. 
"선생님, 이대로 졸업하기에는 너무 섭섭해서 작지만 편지와 선물 마련했습니다.",We prepared a small gift and wrote a letter for you before we graduate.
이런거 준비안해도 되는데. 너무 감동이다 얘들아. ,You didn't have to do this. I am so touched.
선생님 아니였으면 아마 저희 모두 대학 가기 힘들었을 것같아요. 너무 감사합니다.,"If it weren't for you, we would have struggled so much to go to college. Thank you so much."
아니야. 너희가 그동안 진짜 열심히 해준게 너무 고마울 뿐이다.,No. I am just so grateful for all of your hardwork.
졸업 하려면 몇학점 따야하는지 혹시 이야기 들었어?,Do you know how much credit we need in order to graduate?
응. 총 158학점을 따야해. 언제 이 많은 수업을 들을 수 있을 지 모르겠다.,Yes. We need total of 158 credits. I don't even know when can we take so many classes.
158학점이나? 딴 학교들은 대부분 140학점만 따면 되던데. ,158 credits? Most other school only require 140 credits.
우리 학교가 워낙 졸업이 힘든걸로 명성이 높잖아.,Our school is known to have higher standards for graduation.
너 지금 어디야? 입학식 이미 시작한지 한시간이 지났어.,Where are you right now? We've started the entrance ceremony an hour ago.
헉! 벌써? 아 나 늦잠을 자 버렸어. 어떻하지. 지금 출발하면 30분은 더 걸릴텐데.,What? Already? I slept in. What do I do. It'll take more than 30 minute for me to get there.
그냥 택시타고 오던지 아버지한테 태워달라고 하면 안되?,Take a cab or ask your dad to give you a ride.
아버지랑 같이 가고 있어. 지금 차 타고 가고 있는데 30분이 더 걸릴것같아.,I'm on my way with my dad. I think it'll take more than 30 minutes even if we drive there.
우리 입학할때 기억나? 진짜 엇그제 같다. 시간 참 빠르다.,Do you remember when we first started school? It just feels like yesterday. Time flies.
맞아. 우리 입학식에서 처음 만났잖아. 진짜 어제 같다.,Right. We first met each other at the entrance ceremony. It feels like yesterday.
입학식에서 너가 내 옆에 안 앉았으면 우린 친구도 못 되었을거야. ,We wouldn't have become friends if we didn't sit next to each other at the entrance ceremony.
정말 다행이다. 그리고 나서 우리가 지금까지 우정을 이어오고 있다니.,I'm so glad we did and we've been good friends until today.
졸업식 당일에는 차가 주변에 많을 예정임으로 가급적이면 대중교통 이용을 부탁드립니다.,It is highly advised for you to take public transportation due to heavy traffic on graduation day.
저희 아버지가 다리가 불편하셔서 저희가 아마도 대중교통보다는 차를 몰고 올것같아서요.,I think we will drive because my dad is handicapped. 
네. 그런 경우에는 저희 본관 지하 3층부터 지하 6층까지 방문객들을 위해 주차장으로 오픈하고 있사오니 참고 부탁드립니다.,"Okay, in that case, we are opening ground floors 3 to 6 for visitor parking. So please refer to this."
"아, 주차장 여쭤보려고 했습니다. 친절한 안내 감사드립니다. ","Oh, I was about to ask you about parking. Thanks for the information."
"진형아, 오늘 입학식 몇시에 끝난다고 했어?","Hey, Jin-hyung. What time did they say the entrance ceremony will end?"
오늘 입학식 12시전에는 끝나다고 하더라.,I heard it will be over before 12 today.
"아, 진짜? 그럼 우리 엄마는 못오시겠다. 회사 점심시간에 오신다고 하셨거든.","Oh, really? Then my mom cannot make it. She said she'll come during lunch time."
그래? 그럼 그냥 우리 가족이랑 같이 밥먹으러가면 되겠다.,Really? You can just go eat with my family then.
꽃 사세요. 입학식에 필요한 꽃 사가지고 들어가세요.,Buy flowers for the entrance ceremony.
안녕하세요. 이 꽃다발이랑 저 꽃다발 가격이 어떻게 되나요?,Hi. How much are this and this flower bouquets?
"아, 이 꽃다발은 5,000원입니다. 저것은 7,000원입니다.","That one's 5,000won and this one's 7,000won."
저는 저 꽃다발을 사고 싶은데 혹시 할인 가능한가요?,I want to buy that one but can you give me some discount?
오늘 입학식 끝나고 뭐 다른 계획있어?,What are your plans after the entrance ceremony today?
우리 부모님이 중식당에 함께 가자고 하셨어. 내가 중국음식을 좋아하잖아.,My parents said they'll take me to a Chinese restaurant. You know I like Chinese food.
좋겠다. 나도 중국음식 좋아하는데. 그리고 뭐니뭐니해도 입학식날에는 중국음식인데.,That's nice. I like Chinese food too. And people usually eat Chinese food on entrance ceremony day.
그럼 너도 같이 갈래? 내가 우리 부모님께 여쭤볼게.,Do you want to join us? I'll aks my parents.
와 모든 분들이 제 졸업식에 오셔서 축하해주셔서 너무 감사합니다.,Thanks all for coming to graduation ceremony.
미정아. 졸업을 진심으로 축하해. 그동안 고생 너무 많았다.,"Mi-jung, congratuations on your graduation. You've done so much."
저말고도 저희 부모님이 더 고생 많으셨어요.,My parents actually did so much more than me.
모두 다 고생 너무 많으셨어요. 이제 좀 놀러도 다니고 하세요. ,Everyone did a good job. Please take some time to have fun now.
혹시 오늘 졸업식 끝나고 어떻게 집에 가?,How are you getting home after the graduation ceremony today?
"아, 난 오늘 졸업식에는 부모님께서 못 오셔서 그냥 버스타고 집에 가려고 하는데?","Ah, I was going to just take the bus home because my parents cannot come today."
나도 그래. 그럼 우리 같이 갈까? 방향도 같은데?,Me too. Should we go together? It's the same direction anyways.
그러자. 마침 심심할뻔 했는데 잘 됬다.,Yes. I was bored anyways.
혹시 쟤... 김해리 아니야? 김해리 맞지?,Isn't she... Hye-ri Kim? Right?
